filepath,author,comment,replies,anchor,created
IMAGERY_TRIAGE.xlsx,,(no comment),,,
manifest.jsonl,,(no comment),,,
09-domestic-interiors/interior-stairs-runner.jpg,michael singleton,perfect,,"[null,[null,[0.344070863089373,0.3770634231103388,0.7536831021430985,0.835794960903562]],null,""0B4FkjOvGXGNBdkI4ZnhrOUVEUVVrdGpSY2RSWGE5ZjVTS0M0PQ""]",2026-05-05T20:08:01.789Z
09-domestic-interiors/interior-flowers-restrained.jpg,michael singleton,weird positioning of the person,,"[null,[null,[0.3071242397914856,0.3353605560382276,0.7571676802780191,0.8827106863596872]],null,""0B4FkjOvGXGNBNnpodTVhTm4rNjNpdDVVcTBueGN0VUp6Ny9FPQ""]",2026-05-05T20:07:55.849Z
09-domestic-interiors/interior-window-seat.jpg,michael singleton,not bad not great,,"[null,[null,[0.4007753462229402,0.49695916594265854,0.8127857269527966,0.894874022589053]],null,""0B4FkjOvGXGNBM0Rtc2Q2VHE0Um1yK1hvNVFrL20yZlp6Qk5FPQ""]",2026-05-05T20:07:45.458Z
09-domestic-interiors/interior-library-shelf.jpg,michael singleton,decent,,"[null,[null,[0.33145091225021717,0.2936576889661164,0.7988705473501303,0.8184187662901823]],null,""0B4FkjOvGXGNBZFVKck9kREhtNFVCUHNHUnFmM21ERGpLNVRNPQ""]",2026-05-05T20:07:35.434Z
09-domestic-interiors/interior-hall-evening-return.jpg,michael singleton,weird arm,,"[null,[null,[0.11594568435656304,0.12858384013900956,0.6280180986373703,0.8427454387489139]],null,""0B4FkjOvGXGNBQlVlUDhFeVFwcnZzNFA2WURQQTFPcTI3MUFRPQ""]",2026-05-05T20:07:24.709Z
09-domestic-interiors/interior-kitchen-late.jpg,michael singleton,looks good,,"[null,[null,[0.2648766342544535,0.47437011294526493,0.8947563786163282,0.9487402258905299]],null,""0B4FkjOvGXGNBTlpXVTFuQ0drTzJLck1pQlFqdkFXdFNWZkU4PQ""]",2026-05-05T20:07:16.856Z
09-domestic-interiors/interior-staff-space.jpg,michael singleton,lovely,,"[null,[null,[0.2756622463154445,0.314509122502172,0.8451425631357696,0.7662901824500434]],null,""0B4FkjOvGXGNBUTA0eUlJQS9YaDIvcVFBMk9QY0cyaHNEQlA4PQ""]",2026-05-05T20:07:10.288Z
09-domestic-interiors/interior-pet-basket.jpg,michael singleton,like it,,"[null,[null,[0.2567332754126846,0.5647263249348392,0.6633362293657689,0.9070373588184186]],null,""0B4FkjOvGXGNBbDZHUUR1M3haK3NFUWxENURvU2hwQjBsOU93PQ""]",2026-05-05T20:07:03.323Z
09-domestic-interiors/interior-children-room-empty.jpg,michael singleton,lovely,,"[null,[null,[0.2670337566666517,0.38401390095569066,0.8429854407235713,0.8253692441355343]],null,""0B4FkjOvGXGNBT3JjSlorQUg5TGNlMEZhZGt2RUZySWMvdlM4PQ""]",2026-05-05T20:06:57.229Z
09-domestic-interiors/interior-bathroom-morning.jpg,michael singleton,Gorgeous,,"[null,[null,[0.39430397898634556,0.3927019982623805,0.8861278889675354,0.7906168549087749]],null,""0B4FkjOvGXGNBbWdtZ1d4ejlmZXlTNHZrY094U1N3andCdlhjPQ""]",2026-05-05T20:06:51.386Z
09-domestic-interiors/interior-bedroom-first-light.jpg,michael singleton,perfect,,"[null,[null,[0.4262926021025069,0.39965247610773236,0.83071342929019,0.8062554300608167]],null,""0B4FkjOvGXGNBTUVMT1hVQytraWl3c1RIdzdoRUFkbnc4ZjZzPQ""]",2026-05-05T20:06:37.905Z
09-domestic-interiors/interior-study-lamplit.jpg,michael singleton,no logo on laptop is sus,,"[null,[null,[0.23935708079930493,0.39617723718505643,0.6233709817549956,0.7784535186794092]],null,""0B4FkjOvGXGNBamkzYkg3d0oyODYwK2tJOEFIZE1rRVlZNUtrPQ""]",2026-05-05T20:06:32.332Z
09-domestic-interiors/interior-sitting-afternoon.jpg,michael singleton,lovely for uk,,"[null,[null,[0.2907621032008319,0.4100781928757602,0.827885583838184,0.7784535186794092]],null,""0B4FkjOvGXGNBZXRtcVI3SWZ2WTR2ZzNKTE1MZjFXMC8zUHQ0PQ""]",2026-05-05T20:06:22.921Z
09-domestic-interiors/interior-dressing-room.jpg,michael singleton,perfect,,"[null,[null,[0.30801908249841753,0.26411815812337097,0.6337445667403458,0.629018245004344]],null,""0B4FkjOvGXGNBa3l2LzNLY1MvS05Fb3IwWDViQy9GUXFQU3prPQ""]",2026-05-05T20:06:15.808Z
09-domestic-interiors/interior-breakfast-tray.jpg,michael singleton,nice,,"[null,[null,[0.20879145153730028,0.46394439617723715,0.6941439942818954,0.7419635099913118]],null,""0B4FkjOvGXGNBNXFneGM0VThYamI1MmtNOUtTOVRMNGU4N2k4PQ""]",2026-05-05T20:06:08.954Z
08-caribbean-transatlantic/caribbean-pool-edge.jpg,michael singleton,Perfection,,"[null,[null,[0.34535186794092093,0.31798436142484793,0.7728062554300608,0.7211120764552563]],null,""0B4FkjOvGXGNBY0FMQ1hpZ3NMeXBYU2xyQVE4cnF6R2t6ZkljPQ""]",2026-05-05T20:05:59.743Z
08-caribbean-transatlantic/transatlantic-cruise-window.jpg,michael singleton,Go away strange hand,,"[null,[null,[0.30586196008621935,0.47437011294526493,0.8947563786163282,0.941789748045178]],null,""0B4FkjOvGXGNBQW1QYVc3eFpTd3A1U3V0bUxSZVlDNkYzZGRZPQ""]",2026-05-05T20:05:51.703Z
08-caribbean-transatlantic/barbados-garden.jpg,michael singleton,Oooh nice but trees look fake,,"[null,[null,[0.27305881146544714,0.4986967854039965,0.6949366527763395,0.9018245004344048]],null,""0B4FkjOvGXGNBWjRVc1dGeElwQk9CeG94bFpoMW9vNFExdjdRPQ""]",2026-05-05T20:05:41.643Z
08-caribbean-transatlantic/mustique-interior.jpg,michael singleton,Weid fan but looks good,,"[null,[null,[0.2217341860104895,0.07298001737619461,0.7070867287550847,0.7558644656820156]],null,""0B4FkjOvGXGNBZi8rSmNtVGU1M1dKRVFpdlFPdForZ3RLTXR3PQ""]",2026-05-05T20:05:30.110Z
